Size,Processes,Time_sec,Speedup,Efficiency,Operations,Status
200,1,0.00480003,1.0,100.0,8000000,PASSED
200,2,0.00439532,1.09,54.5,8000000,PASSED
200,4,0.00488813,0.98,24.5,8000000,PASSED
200,8,0.00490761,0.98,12.2,8000000,PASSED
400,1,0.0529352,1.0,100.0,64000000,PASSED
400,2,0.0502317,1.05,52.5,64000000,PASSED
400,4,0.0578975,0.91,22.8,64000000,PASSED
400,8,0.0591633,0.89,11.1,64000000,PASSED
800,1,0.59839,1.0,100.0,512000000,PASSED
800,2,0.710094,0.84,42.0,512000000,PASSED
800,4,0.959232,0.62,15.5,512000000,PASSED
800,8,0.879584,0.68,8.5,512000000,PASSED
1200,1,3.4099,1.0,100.0,1728000000,PASSED
1200,2,3.59575,0.95,47.5,1728000000,PASSED
1200,4,4.49107,0.76,19.0,1728000000,PASSED
1200,8,6.15257,0.55,6.9,1728000000,PASSED
1600,1,15.0032,1.0,100.0,4096000000,PASSED
1600,2,12.7085,1.18,59.0,4096000000,PASSED
1600,4,17.2635,0.87,21.8,4096000000,PASSED
1600,8,23.6026,0.64,8.0,4096000000,PASSED
2000,1,35.8434,1.0,100.0,8000000000,PASSED
2000,2,40.362,0.89,44.5,8000000000,PASSED
2000,4,40.105,0.89,22.2,8000000000,PASSED
2000,8,78.454,0.46,5.8,8000000000,PASSED
